log_file,dataset,model_type,run_mode,seed,n_inters,checkpoint_path,ndcg_at20,hit_at20,mrr_at20,recall_at20,precision_at20,averagepopularity_at20,giniindex_at20,itemcoverage_at20,shannonentropy_at20,tailpercentage_at20,murr,ARP,APLT,ACLT,PopRSP,PopRSP_p_shorthead,PopRSP_p_longtail,PopREO,PopREO_p_shorthead,PopREO_p_longtail
murr-dataset/amazon-office/de/de_no_dis_a1_filter.log,amazon-office,de,a1,,53258,saved/ensembles/amazon/office/filter/de_no_dis_a1/SASRec_DE_posthoc_member1.pth saved/ensembles/amazon/office/filter/de_no_dis_a1/SASRec_DE_posthoc_member2.pth saved/ensembles/amazon/office/filter/de_no_dis_a1/SASRec_DE_posthoc_member3.pth saved/ensembles/amazon/office/filter/de_no_dis_a1/SASRec_DE_posthoc_member4.pth saved/ensembles/amazon/office/filter/de_no_dis_a1/SASRec_DE_posthoc_member5.pth,0.0624,0.157,0.0362,0.157,0.0078,54.5896,0.7672,0.9079,0.003,0.0056,0.135853,39.399001,0.307146,6.142915,0.802744,0.029359,0.003212,0.579885,0.309899,0.082407
murr-dataset/amazon-office/de/de_no_dis_.log,amazon-office,de,no_dis,,53258,saved/ensemble/amazon/office/posthoc/SASRec_DE_posthoc_member1.pth saved/ensemble/amazon/office/posthoc/SASRec_DE_posthoc_member2.pth saved/ensemble/amazon/office/posthoc/SASRec_DE_posthoc_member3.pth saved/ensemble/amazon/office/posthoc/SASRec_DE_posthoc_member4.pth saved/ensemble/amazon/office/posthoc/SASRec_DE_posthoc_member5.pth,0.0621,0.1547,0.0364,0.1547,0.0077,54.5431,0.7733,0.9038,0.003,0.0053,0.141489,49.78584,0.310408,6.208156,0.798015,0.005738,0.000645,0.542374,0.20848,0.061857
murr-dataset/amazon-office/de/de_no_dis_alpha0_filter.log,amazon-office,de,alpha0,,53258,saved/ensembles/amazon/office/filter/de_no_dis_alpha0/SASRec_DE_posthoc_member1.pth saved/ensembles/amazon/office/filter/de_no_dis_alpha0/SASRec_DE_posthoc_member2.pth saved/ensembles/amazon/office/filter/de_no_dis_alpha0/SASRec_DE_posthoc_member3.pth saved/ensembles/amazon/office/filter/de_no_dis_alpha0/SASRec_DE_posthoc_member4.pth saved/ensembles/amazon/office/filter/de_no_dis_alpha0/SASRec_DE_posthoc_member5.pth,0.0628,0.1572,0.0366,0.1572,0.0079,54.1702,0.7616,0.912,0.003,0.0058,0.143662,38.964159,0.315556,6.311111,0.79566,0.029002,0.0033,0.564912,0.309336,0.086004
murr-dataset/amazon-office/mcd/mcd_no_dis_a1_seed_2020_filter.log,amazon-office,mcd,a1,2020,53258,saved/sasrec_mcd_Apr-26-2026_09-36-08.pth,0.0606,0.1515,0.0354,0.1515,0.0076,49.1812,0.7135,0.9306,0.003,0.0096,0.0,35.978838,0.373588,7.471764,0.743351,0.026541,0.003907,0.549531,0.292463,0.085023
murr-dataset/amazon-office/mcd/mcd_no_dis_a1_seed_2021_filter_.log,amazon-office,mcd,a1,2021,53258,saved/sasrec_mcd_Apr-30-2026_13-57-01.pth,0.0597,0.149,0.0347,0.149,0.0075,52.4414,0.7645,0.8835,0.0031,0.0063,0.0,38.759969,0.313517,6.270336,0.797385,0.029088,0.003279,0.603227,0.302587,0.074886
murr-dataset/amazon-office/mcd/mcd_no_dis_a1_seed_2022_filter_.log,amazon-office,mcd,a1,2022,53258,saved/sasrec_mcd_Apr-30-2026_13-57-47.pth,0.0603,0.1509,0.0352,0.1509,0.0075,49.1849,0.707,0.938,0.003,0.009,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_a1_seed_2023_filter_.log,amazon-office,mcd,a1,2023,53258,saved/sasrec_mcd_Apr-30-2026_13-58-25.pth,0.0602,0.1513,0.0348,0.1513,0.0076,51.4526,0.7458,0.9,0.0031,0.0066,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_a1_seed_2024_filter_.log,amazon-office,mcd,a1,2024,53258,saved/sasrec_mcd_Apr-30-2026_13-59-50.pth,0.0629,0.1547,0.0375,0.1547,0.0077,53.9606,0.7908,0.8517,0.0031,0.0051,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_alpha0_seed_2020_filter_.log,amazon-office,mcd,alpha0,2020,53258,saved/sasrec_mcd_Apr-26-2026_09-36-26.pth,0.0609,0.1533,0.0354,0.1533,0.0077,48.9571,0.7112,0.9314,0.003,0.0095,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_alpha0_seed_2021_filter_.log,amazon-office,mcd,alpha0,2021,53258,saved/sasrec_mcd_Apr-30-2026_13-57-10.pth,0.0593,0.1486,0.0343,0.1486,0.0074,52.2946,0.7682,0.8827,0.0031,0.0061,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
