log_file,dataset,model_type,run_mode,seed,n_inters,checkpoint_path,ndcg_at20,hit_at20,mrr_at20,recall_at20,precision_at20,averagepopularity_at20,giniindex_at20,itemcoverage_at20,shannonentropy_at20,tailpercentage_at20,ARP,APLT,ACLT,PopRSP,PopRSP_p_shorthead,PopRSP_p_longtail,PopREO,PopREO_p_shorthead,PopREO_p_longtail
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_no_dis_seed_2021_default.log,amazon-office,edl,no_dis,2021,1243186,saved/sasrec_dirichlet_no_dis_edl_Apr-21-2026_14-48-13.pth,0.0393,0.0708,0.0303,0.0708,0.0035,68.2609,0.9193,0.365,0.0002,0.0165,67.555622,0.190154,3.803084,0.889131,0.001183,6.9e-05,0.849781,0.095085,0.007722
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_no_dis_seed_2024_default.log,amazon-office,edl,no_dis,2024,1243186,saved/sasrec_dirichlet_no_dis_edl_Apr-24-2026_05-55-33.pth,0.0386,0.07,0.0295,0.07,0.0035,69.6987,0.9174,0.3712,0.0002,0.0146,68.982365,0.182264,3.645277,0.89446,0.001194,6.7e-05,0.853563,0.094562,0.007471
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_no_dis_seed_2020.log,amazon-office,edl,no_dis,2020,1243186,saved/SASRec_dirichlet_seed_2020_edl_no_dis_posthoc.pth,0.0389,0.0719,0.0293,0.0719,0.0036,71.7802,0.9214,0.3655,0.0002,0.0146,71.300872,0.17663,3.532594,0.89822,0.001202,6.4e-05,0.845214,0.096542,0.008098
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_ua_seed_2020.log,amazon-office,edl,ua,2020,1243186,saved/SASRec_dirichlet_seed_2020_edl_no_dis_ua_posthoc.pth,0.0389,0.072,0.0293,0.072,0.0036,71.8168,0.9214,0.3656,0.0002,0.0145,71.334629,0.17658,3.531608,0.898253,0.001203,6.4e-05,0.845214,0.096542,0.008098
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_no_dis_seed_2023_default.log,amazon-office,edl,no_dis,2023,1243186,saved/sasrec_dirichlet_no_dis_edl_Apr-22-2026_10-04-05.pth,0.0389,0.0741,0.0287,0.0741,0.0037,83.5774,0.9351,0.3506,0.0002,0.012,83.414173,0.145639,2.912777,0.918268,0.001248,5.3e-05,0.8526,0.100207,0.007973
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_no_dis_seed_2022_default.log,amazon-office,edl,no_dis,2022,1243186,saved/sasrec_dirichlet_no_dis_edl_Apr-22-2026_00-42-00.pth,0.039,0.0753,0.0286,0.0753,0.0038,86.8709,0.9353,0.352,0.0002,0.0133,86.682242,0.163086,3.261719,0.907112,0.001222,6e-05,0.863236,0.101778,0.007471
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_ua_seed_2021_default.log,amazon-office,edl,ua,2021,1243186,saved/sasrec_dirichlet_ua_edl_Apr-21-2026_14-48-24.pth,0.0393,0.0708,0.0303,0.0708,0.0035,68.2702,0.9193,0.3649,0.0002,0.0164,67.552762,0.190048,3.800962,0.889203,0.001183,6.9e-05,0.849914,0.095176,0.007722
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_ua_seed_2024_default.log,amazon-office,edl,ua,2024,1243186,saved/sasrec_dirichlet_ua_edl_Apr-24-2026_00-49-45.pth,0.0386,0.07,0.0295,0.07,0.0035,69.7125,0.9173,0.371,0.0002,0.0146,69.008064,0.182392,3.64785,0.894373,0.001194,6.7e-05,0.853203,0.094311,0.007471
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_ue_seed_2021_default.log,amazon-office,edl,ue,2021,1243186,saved/sasrec_dirichlet_ue_edl_Apr-21-2026_14-48-36.pth,0.0394,0.0709,0.0303,0.0709,0.0035,68.4197,0.9194,0.365,0.0002,0.0165,67.723671,0.189956,3.799125,0.889265,0.001183,6.9e-05,0.849947,0.095199,0.007722
beyond-fairness-dataset/amazon-office/edl/dirichlet_edl_ua_seed_2022_default.log,amazon-office,edl,ua,2022,1243186,saved/sasrec_dirichlet_ua_edl_Apr-22-2026_00-42-18.pth,0.0392,0.0753,0.0288,0.0753,0.0038,84.9207,0.9332,0.3546,0.0002,0.014,84.694708,0.171153,3.423051,0.901841,0.00121,6.2e-05,0.85831,0.102097,0.007785
